akronim,fraza polska,fraza obca,język,hasło_wikipedia
LFS,Zespół Li-Fraumeni,Li-Fraumeni syndrome,ang.,Zesp%C3%B3%C5%82_Li-Fraumeni
LIG,Zespół LIG4,brak,brak,Zesp%C3%B3%C5%82_LIG4
LDS,Zespół Loeysa-Dietza,Loeys-Dietz syndrome,ang.,Zesp%C3%B3%C5%82_Loeysa-Dietza
UMS,Zespół łokciowo-sutkowy,Ulnar-mammary syndrome,ang.,Zesp%C3%B3%C5%82_%C5%82okciowo-sutkowy
TAR,Zespół małopłytkowości i aplazji kości promieniowej,brak,brak,Zesp%C3%B3%C5%82_ma%C5%82op%C5%82ytkowo%C5%9Bci_i_aplazji_ko%C5%9Bci_promieniowej
MKKS,Zespół McKusicka-Kaufmana,McKusick-Kaufman syndrome,ang.,Zesp%C3%B3%C5%82_McKusicka-Kaufmana
MEHMO,Zespół MEHMO,brak,brak,Zesp%C3%B3%C5%82_MEHMO
MIDAS,Zespół MIDAS,brak,brak,Zesp%C3%B3%C5%82_MIDAS
MBS,Zespół Möbiusa,Moebius syndrome,ang.,Zesp%C3%B3%C5%82_M%C3%B6biusa
DDON,Zespół Mohra-Tranebjærga,Mohr-Tranebjærg syndrome,ang.,Zesp%C3%B3%C5%82_Mohra-Tranebjaerga
MWS,Zespół Mowata-Wilsona,Mowat-Wilson syndrome,ang.,Zesp%C3%B3%C5%82_Mowata-Wilsona
NBCCS,Zespół nabłoniaków znamionowych,nevoid basal cell carcinoma syndrome,ang.,Zesp%C3%B3%C5%82_nab%C5%82oniak%C3%B3w_znamionowych
HPT,Zespół nadczynności przytarczyc i guza szczęki lub żuchwy,hyperparathyroidism-jaw tumor syndrome,ang.,Zesp%C3%B3%C5%82_nadczynno%C5%9Bci_przytarczyc_i_guza_szcz%C4%99ki_lub_%C5%BCuchwy
NETH,Zespół Nethertona,Netherton syndrome,ang.,Zesp%C3%B3%C5%82_Nethertona
NLS,Zespół Neua-Laxovy,Neu-Laxová syndrome,ang.,Zesp%C3%B3%C5%82_Neua-Laxovy
NBS,Zespół Nijmegen,Nijmegen breakage syndrome,ang.,Zesp%C3%B3%C5%82_Nijmegen
NS,Zespół Noonan,Noonan syndrome,ang.,Zesp%C3%B3%C5%82_Noonan
OFCD,Zespół oczno-twarzowo-sercowo-zębowy,oculofaciocardiodental syndrome,ang.,Zesp%C3%B3%C5%82_oczno-twarzowo-sercowo-z%C4%99bowy
BBB,Zespół Opitza-G,Opitz-G Syndrome,ang.,Zesp%C3%B3%C5%82_Opitza-G
FG,Zespół Opitza-Kaveggi,Opitz-Kaveggia syndrome,ang.,Zesp%C3%B3%C5%82_Opitza-Kaveggii
RTH,Zespół oporności na hormony tarczycy,thyroid hormone resistance,ang.,Zesp%C3%B3%C5%82_oporno%C5%9Bci_na_hormony_tarczycy
PHS,Zespół Pallistera-Hall,Pallister-Hall syndrome,ang.,Zesp%C3%B3%C5%82_Pallistera-Hall
HOOD,Zespół paznokieć-rzepka,nail-patella syndrome,ang.,Zesp%C3%B3%C5%82_paznokie%C4%87-rzepka
PRDS,Zespół Pitta-Rogersa-Danksa,brak,brak,Zesp%C3%B3%C5%82_Pitta-Rogersa-Danksa
SMMCI,Zespół pojedynczego środkowego siekacza szczęki,solitary median maxillary central incisor syndrome,ang.,Zesp%C3%B3%C5%82_pojedynczego_%C5%9Brodkowego_siekacza_szcz%C4%99ki
PWS,Zespół Pradera-Williego,Prader-Willi syndrome,ang.,Zesp%C3%B3%C5%82_Pradera-Williego
PS,Zespół Proteusza,Proteus syndrome,ang.,Zesp%C3%B3%C5%82_Proteusza
RAPADILINO,Zespół RAPADILINO,brak,brak,Zesp%C3%B3%C5%82_RAPADILINO
SJS,Zespół Schwartza-Jampela,Schwartz-Jampel syndrome,ang.,Zesp%C3%B3%C5%82_Schwartza-Jampela
BSCL2 ,Zespół Seipa-Berardinelliego,Seip-Berardinelli congenital lipodystrophy,ang.,Zesp%C3%B3%C5%82_Seipa-Berardinelliego
CFC,Zespół sercowo-twarzowo-skórny,cardiofaciocutaneous syndrome,ang.,Zesp%C3%B3%C5%82_sercowo-twarzowo-sk%C3%B3rny
SHS,Zespół Sheldona-Halla,Sheldon-Hall syndrome,ang.,Zesp%C3%B3%C5%82_Sheldona-Halla
SGBS,Zespół Simpsona-Golabi-Behmel typu 1,Simpson-Golabi-Behmel syndrome,ang.,Zesp%C3%B3%C5%82_Simpsona-Golabi-Behmel
SMS,Zespół Smith-Magenis,Smith-Magenis syndrome,ang.,Zesp%C3%B3%C5%82_Smith-Magenis
SWS,Zespół Stüve-Wiedemanna,brak,brak,Zesp%C3%B3%C5%82_St%C3%BCve-Wiedemanna
XY,Zespół Swyera,Swyer syndrome,ang.,Zesp%C3%B3%C5%82_Swyera
GPS,Zespół szarych płytek,grey platelet syndrome,ang.,Zesp%C3%B3%C5%82_szarych_p%C5%82ytek
TBS,Zespół Townesa-Brocksa,Townes-Brocks syndrome,ang.,Zesp%C3%B3%C5%82_Townesa-Brocksa
VDWS,Zespół van der Woude,van der Woude syndrome,ang.,Zesp%C3%B3%C5%82_van_der_Woude
WAGR,Zespół WAGR,brak,brak,Zesp%C3%B3%C5%82_WAGR
WHIM,Zespół WHIM,brak,brak,Zesp%C3%B3%C5%82_WHIM
